"Year";"Url";"Id";"License";"Languages";"Disks";"Players";"Name";"Publisher";"Path";"Hardware";"Genre"
"1990";"http://www.lemonamiga.com/games/details.php?id=2267";"2267";"Commercial";"English";"1";"1 or 2";"Sorceror's Apprentice";"Actual Screenshots";"s\sorcerors-apprentice";"OCS";
"1988";"http://www.lemonamiga.com/games/details.php?id=2727";"2727";"Commercial";"English";"1";"1 Only";"Sorcery Plus";"Virgin Games";"s\sorcery-plus";"OCS";"Arcade - Miscellaneous"
"1992";"http://www.lemonamiga.com/games/details.php?id=2668";"2668";"Commercial";"German";"4";"1 Only";"Soul Crystal";"Starbyte Software";"s\soul-crystal";"OCS,ECS";"Adventure - Graphics/Text"
"1991";"http://www.lemonamiga.com/games/details.php?id=3283";"3283";"Commercial";"English";"2";"1 Only";"Space 1889";"Empire Software";"s\space-1889";"OCS,ECS";"Adventure - RPG 2D"
"1989";"http://www.lemonamiga.com/games/details.php?id=983";"983";"Commercial";"English";"4";"1 Only";"Space Ace";"ReadySoft";"s\space-ace";"OCS";"Adventure - Miscellaneous"
"1992";"http://www.lemonamiga.com/games/details.php?id=979";"979";"Commercial";"English";"5";"1 Only";"Space Ace II: Borf's Revenge";"ReadySoft";"s\space-ace-ii-borfs-revenge";"OCS,ECS";"Adventure - Miscellaneous"
"1987";"http://www.lemonamiga.com/games/details.php?id=3460";"3460";"Commercial";"English";"1";"1 Only";"Space Baller";"International Software Köln";"s\space-baller";"OCS";"Arcade - Miscellaneous"
"1986";"http://www.lemonamiga.com/games/details.php?id=2548";"2548";"Commercial";"English";"1";"1 or 2, Simultaneous";"Space Battle";"Diamond Software";"s\space-battle";"OCS";
"1992";"http://www.lemonamiga.com/games/details.php?id=980";"980";"Commercial";"English,German,French,Italian";"2";"1 Only";"Space Crusade";"Gremlin Graphics";"s\space-crusade";"OCS,ECS";"Adventure - Miscellaneous"
"1987";"http://www.lemonamiga.com/games/details.php?id=2457";"2457";"Commercial";"English";"1";"1 or 2, Simultaneous";"Space Fight";"Softgang";"s\space-fight";"OCS";
"1992";"http://www.lemonamiga.com/games/details.php?id=1333";"1333";"Commercial";"English";"2";"1 or 2, Simultaneous";"Space Gun";"Ocean";"s\space-gun";"OCS,ECS";
"1989";"http://www.lemonamiga.com/games/details.php?id=1468";"1468";"Commercial";"English";"1";"1 Only";"Space Harrier";"Elite";"s\space-harrier";"OCS";
"1989";"http://www.lemonamiga.com/games/details.php?id=925";"925";"Commercial";"English";"1";"1 Only";"Space Harrier II";"Grandslam";"s\space-harrier-ii";"OCS";
"1989";"http://www.lemonamiga.com/games/details.php?id=2965";"2965";"Commercial";"English";"1";"1 Only";"Space Harrier: Return to the Fantasy Zone";"Elite";"s\space-harrier-return-to-the-fantasy-zone";"OCS";
"1993";"http://www.lemonamiga.com/games/details.php?id=1334";"1334";"Commercial";"English";"3";"1 Only";"Space Hulk";"Electronic Arts";"s\space-hulk";"OCS,ECS";"Strategy - Miscellaneous"
"1992";"http://www.lemonamiga.com/games/details.php?id=2540";"2540";"Coverdisk";"English";"1";"1 Only";"Space Invaders II: The Attack of the Green Smelly Aliens from Planet 27b/6";"Amiga Power";"s\space-invaders-ii-the-attack-of-the-green-smelly-aliens-from-planet-27b-6";"OCS,ECS";
"1992";"http://www.lemonamiga.com/games/details.php?id=3477";"3477";"Commercial";"German";"3";"1 Only";"Space MAX";"Starbyte Software";"s\space-max";"OCS,ECS";"Simulation - Space"
