"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ClearMem";"920126";"E\EssentialClassics\EssentialClassics.Slave";"Essential Classics ? 1993 Nova.";"0";"EssentialClassics";"Essential Classics";"1993 Nova";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EssentialClassics";"OCS/ECS";"";"";"";"";"essential classics nova";"Exact";"100";"essential-classics-nova";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\essential-classics-nova\screen.png";"essential-classics-nova"
"NoError, EmulTrap, ClearMem";"950574";"E\EstprobalMastic\EstprobalMastic.Slave";"Estprobal Mastic ? 1992 Imagine.";"0";"EstprobalMastic";"Estprobal Mastic";"1992 Imagine";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EstprobalMastic";"OCS/ECS";"";"";"";"";"estprobal mastic imagine";"Exact";"100";"estprobal-mastic-imagine";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\estprobal-mastic-imagine\screen.png";"estprobal-mastic-imagine"
"NoError, EmulTrap";"921183";"E\Exage\Exage.Slave";"Exage ? 1990 Burning Independence.";"0";"Exage";"Exage";"1990 Burning Independence";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Exage";"OCS/ECS";"";"";"";"";"exage burning independence";"Best";"8,273964";"exage-1-burning-independence";"C:\Work\First Realize\amiga-demo-database\jasdd\e\exage-1-burning-independence\screen_001.png";"exage-1-burning-independence"
"NoError, EmulTrap, ClearMem";"111554";"E\Experiment\Experiment.Slave";"Experiment ? 1991 Ram Jam.";"0";"Experiment";"Experiment";"1991 Ram Jam";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Experiment";"OCS/ECS";"";"";"";"";"experiment ram jam";"Exact";"100";"experiment-ram-jam";"C:\Work\First Realize\amiga-demo-database\jasdd\e\experiment-ram-jam\screen_001.png";"experiment-ram-jam"
"Disk, NoError, Req68020, ReqAGA";"907885";"E\Explorer\Explorer.slave";"Explorer ? 1994 Delight.";"0";"Explorer";"";"";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Explorer";"AGA";"";"";"";"";"explorer delight";"Exact";"100";"explorer-delight";"C:\Work\First Realize\amiga-demo-database\jasdd\e\explorer-delight\screen_001.png";"explorer-delight"
"NoError, EmulTrap, ClearMem";"919109";"E\Expressions\Expressions.Slave";"Expressions ? 1989 Timecircle.";"0";"Expressions";"Expressions";"1989 Timecircle";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Expressions";"OCS/ECS";"";"";"";"";"expressions timecircle";"Exact";"100";"expressions-timecircle";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\expressions-timecircle\screen.gif";"expressions-timecircle"
"NoError";"911565";"E\Extemporized\Extemporized.Slave";"Extemporized ? 1993 Digital - 1 disk";"0";"Extemporized";"Extemporized";"1993 Digital";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Extemporized";"OCS/ECS";"";"";"";"";"extemporized digital";"Exact";"100";"extemporized-digital";"C:\Work\First Realize\amiga-demo-database\jasdd\e\extemporized-digital\screen_001.PNG";"extemporized-digital"
"Disk, NoError";"716357";"E\Extension\Extension.Slave";"";"0";"Extension";"Extension";"1993 Pygmy Projects";"454656";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Extension";"OCS/ECS";"";"";"";"";"extension pygmy projects";"Exact";"100";"extension-pygmy-projects";"C:\Work\First Realize\amiga-demo-database\jasdd\e\extension-pygmy-projects\screen_001.PNG";"extension-pygmy-projects"
"NoError, EmulTrap, ClearMem";"922417";"F\FaceAnotherDay\FaceAnotherDay.Slave";"Face Another Day ? 1991 Razor 1911.";"0";"FaceAnotherDay";"Face Another Day";"1991 Razor 1911";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FaceAnotherDay";"OCS/ECS";"";"";"";"";"face another day razor";"Best";"4,748383";"face-another-day-razor-1911";"C:\Work\First Realize\amiga-demo-database\jasdd\f\face-another-day-razor-1911\screen_001.PNG";"face-another-day-razor-1911"
"NoError, EmulTrap, ReqAGA, ClearMem";"2193150";"F\Faktory\Faktory.Slave";"Faktory ? 1995 Virtual Dreams/Fairlight.";"0";"Faktory";"Faktory";"1995 Virtual Dreams/Fairlight";"573440";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Faktory";"AGA";"";"";"";"";"faktory virtual dreams fairlight";"Exact";"100";"faktory-virtual-dreams-fairlight";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\f\faktory-virtual-dreams-fairlight\screen.jpg";"faktory-virtual-dreams-fairlight"
"NoError, EmulTrap, ClearMem";"920777";"F\FallingUp\FallingUp.Slave";"Falling Up ? 1992 Analog";"0";"FallingUp";"Falling Up";"1992 Analog";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FallingUp";"OCS/ECS";"";"";"";"";"falling up analog";"Exact";"100";"falling-up-analog";"C:\Work\First Realize\amiga-demo-database\jasdd\f\falling-up-analog\screen_001.png";"falling-up-analog"
"Disk, NoError, EmulTrap";"1832417";"F\FantasticArt\FantasticArt.slave";"The Fantastic Art ? 1990 Crusaders.";"0";"FantasticArt";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FantasticArt";"OCS/ECS";"";"";"";"";"fantastic art";"Best";"3,000775";"the-fantastic-art-of-tobias-richter-crusaders";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-fantastic-art-of-tobias-richter-crusaders\screen.png";"the-fantastic-art-of-tobias-richter-crusaders"
"NoError, EmulTrap, ClearMem";"924101";"F\FantasticDream\FantasticDream.Slave";"Fantastic Dream ? 1994 Saints.";"0";"FantasticDream";"Fantastic Dream";"1994 Saints";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FantasticDream";"OCS/ECS";"";"";"";"";"fantastic dream saints";"Exact";"100";"fantastic-dream-saints";"C:\Work\First Realize\amiga-demo-database\jasdd\f\fantastic-dream-saints\screen_001.png";"fantastic-dream-saints"
"NoError, EmulTrap, ClearMem";"369276";"F\FantasticPixVol1\FantasticPixVol1.Slave";"Fantastic Pix Vol.1 ? 1990 Venom.";"0";"FantasticPixVol1";"Fantastic Pix Vol.1";"1990 Venom";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FantasticPixVol1";"OCS/ECS";"";"";"";"";"fantastic pix 1 venom";"Exact";"100";"fantastic-pix-1-venom";"C:\Work\First Realize\amiga-demo-database\jasdd\f\fantastic-pix-1-venom\screen_001.png";"fantastic-pix-1-venom"
"Disk, NoError, EmulTrap, ClearMem";"908508";"F\FasterThanHell\FasterThanHell.Slave";"Faster Than Hell ? 1992 W.F.M.H.";"0";"FasterThanHell";"Faster Than Hell";"1992 W.F.M.H.";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FasterThanHell";"OCS/ECS";"";"";"";"";"faster than hell";"Best";"4,278347";"faster-than-hell-world-federation-of-mad-hackers";"C:\Work\First Realize\amiga-demo-database\jasdd\f\faster-than-hell-world-federation-of-mad-hackers\screen_001.png";"faster-than-hell-world-federation-of-mad-hackers"
"NoError, EmulTrap, ClearMem";"2727490";"F\Finlandia\Finlandia.Slave";"Finlandia ? 1992 Dual Crew & Complex.";"0";"Finlandia";"Finlanda";"1992 Dual Crew&Complex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Finlandia";"OCS/ECS";"";"";"";"";"finlandia finlanda dual crew complex";"Best";"3,585572";"finlandia-dual-crew-complex";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\f\finlandia-dual-crew-complex\screen.jpg";"finlandia-dual-crew-complex"
"NoError, EmulTrap";"920397";"F\FlowerPower\FlowerPower.Slave";"Flower Power ? 1992 Anarchy - 1 disk";"0";"FlowerPower";"Flower Power";"1992 Anarchy";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FlowerPower";"OCS/ECS";"";"";"";"";"flower power anarchy";"Exact";"100";"flower-power-anarchy";"C:\Work\First Realize\amiga-demo-database\jasdd\f\flower-power-anarchy\screen_001.png";"flower-power-anarchy"
"NoError, EmulTrap, ClearMem";"276045";"F\FollowMe\FollowMe.Slave";"Follow Me ? 1990 Red Sector Inc.";"0";"FollowMe";"Follow Me";"1990 Red Sector Inc.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FollowMe";"OCS/ECS";"";"";"";"";"follow me red sector inc";"Exact";"100";"follow-me-red-sector-inc";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\f\follow-me-red-sector-inc\screen.png";"follow-me-red-sector-inc"
"NoError";"908428";"F\FoolsGold\FoolsGold.Slave";"Fools Gold ? 1991 Sanity.";"0";"FoolsGold";"Fools Gold";"1991 by Sanity";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FoolsGold";"OCS/ECS";"";"";"";"";"fools gold by sanity";"Best";"5,011652";"fools-gold-sanity";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\f\fools-gold-sanity\screen.gif";"fools-gold-sanity"
"Disk, NoError";"717373";"F\Forgotten\Forgotten.Slave";"Forgotten ? 1992 Mirage (1 disk)";"0";"Forgotten";"Forgotten";"1992 Mirage";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Forgotten";"OCS/ECS";"";"";"";"";"forgotten mirage";"Exact";"100";"forgotten-mirage";"C:\Work\First Realize\amiga-demo-database\jasdd\f\forgotten-mirage\screen_001.png";"forgotten-mirage"
"NoError, EmulTrap, ClearMem";"920636";"F\FractalTunes\FractalTunes.Slave";"Fractal Tunes ? 1991 Midnightsun.";"0";"FractalTunes";"Fractal Tunes";"1991 Midnightsun";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FractalTunes";"OCS/ECS";"";"";"";"";"fractal tunes midnightsun";"Exact";"100";"fractal-tunes-midnightsun";"C:\Work\First Realize\amiga-demo-database\jasdd\f\fractal-tunes-midnightsun\screen_001.png";"fractal-tunes-midnightsun"
"NoError, Req68020, ReqAGA, ClearMem";"357420";"F\FridayAtEight\FridayAtEight.Slave";"Friday At Eight ? 1994 Polka Brothers";"0";"FridayAtEight";"Friday At Eight";"1994 Polka Brothers";"806912";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FridayAtEight";"AGA";"";"";"";"";"friday at eight polka brothers";"Exact";"100";"friday-at-eight-polka-brothers";"C:\Work\First Realize\amiga-demo-database\jasdd\f\friday-at-eight-polka-brothers\screen_001.PNG";"friday-at-eight-polka-brothers"
"NoError, EmulTrap, ReqAGA";"1590321";"F\FullMoon\FullMoon.Slave";"Full Moon ? 1993 Virtual Dreams/Fairlight.";"0";"FullMoon";"FullMoon";"1993 Virtual Dreams/Fairlight";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FullMoon";"AGA";"";"";"";"";"full moon virtual dreams fairlight";"Exact";"100";"fullmoon-virtual-dreams-fairlight";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\f\fullmoon-virtual-dreams-fairlight\screen.gif";"fullmoon-virtual-dreams-fairlight"
"NoError, EmulTrap, ClearMem";"416631";"F\FutureSynthetix\FutureSynthetix.Slave";"Future Synthetix ? 1990 Anthrox.";"0";"FutureSynthetix";"Future Synthetix";"1990 Anthrox";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FutureSynthetix";"OCS/ECS";"";"";"";"";"future synthetix anthrox";"Exact";"100";"future-synthetix-anthrox";"C:\Work\First Realize\amiga-demo-database\jasdd\f\future-synthetix-anthrox\screen_001.png";"future-synthetix-anthrox"
"NoError, EmulTrap, ClearMem";"1819193";"G\GateToHell\GateToHell.Slave";"Gate to Hell ? 1993 Technology.";"0";"GateToHell";"Gate to Hell";"1993 Technology";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GateToHell";"OCS/ECS";"";"";"";"";"gate to hell technology";"Exact";"100";"gate-to-hell-technology";"C:\Work\First Realize\amiga-demo-database\jasdd\g\gate-to-hell-technology\screen_001.png";"gate-to-hell-technology"
"NoError, EmulTrap, ClearMem";"812391";"G\Gathering91Slideshow\Gathering91Slideshow.Slave";"Gathering '91 Slideshow ? 1991 Rebels.";"0";"Gathering91Slideshow";"Gathering";"1991 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Gathering91Slideshow";"OCS/ECS";"";"";"";"";"gathering 91 slideshow rebels";"Best";"2,897521";"gathering-91-party-slideshow-byterapers";"C:\Work\First Realize\amiga-demo-database\jasdd\g\gathering-91-party-slideshow-byterapers\screen_001.png";"gathering-91-party-slideshow-byterapers"
"NoError, EmulTrap, ClearMem";"741728";"G\Gathering93Slideshow\Gathering93Slideshow.Slave";"Gathering '93 Slideshow ? 1993 Majic 12.";"0";"Gathering93Slideshow";"Gathering ";"1993 Majic 12";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Gathering93Slideshow";"OCS/ECS";"";"";"";"";"gathering 1993 partyslides majic 12";"Exact";"100";"gathering-1993-partyslides-majic-12";"C:\Work\First Realize\amiga-demo-database\jasdd\g\gathering-1993-partyslides-majic-12\screen_001.png";"gathering-1993-partyslides-majic-12"
"NoError, ClearMem";"192638";"G\Gen4Demo\Gen4Demo.Slave";"Gen4 Demo ? 1990 Dragons.";"0";"Gen4Demo";"Gen4 Demo";"1990 Dragons";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Gen4";"OCS/ECS";"";"";"Demo";"";"gen 4d emo 4 demo dragons";"Best";"2,529577";"gen4-demo-dragons";"C:\Work\First Realize\amiga-demo-database\jasdd\g\gen4-demo-dragons\screen_001.PNG";"gen4-demo-dragons"
"NoError, Req68020, ReqAGA, ClearMem";"371504";"G\Gevalia\Gevalia.Slave";"Gevalia ? 1994 Polka Brothers";"0";"Gevalia";"Gevalia";"1994 Polka Brothers";"770048";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Gevalia";"AGA";"";"";"";"";"gevalia polka brothers";"Exact";"100";"gevalia-polka-brothers";"C:\Work\First Realize\amiga-demo-database\jasdd\g\gevalia-polka-brothers\screen_001.png";"gevalia-polka-brothers"
"NoError, EmulTrap, ClearMem";"926367";"G\GigaDemo3\GigaDemo3.Slave";"Gigademo 3 ? 1989 Triangle & The Gang.";"0";"GigaDemo3";"Gigademo 3";"1989 Triangle & The Gang";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Giga";"OCS/ECS";"";"";"Demo3";"";"giga demo 3 gigademo triangle the gang";"Best";"3,350768";"gigademo-3-triangle-the-gang";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\g\gigademo-3-triangle-the-gang\screen.jpg";"gigademo-3-triangle-the-gang"
"NoError, EmulTrap, ClearMem";"723087";"G\GladiatorMusic\GladiatorMusic.Slave";"Gladiator Music ? 1990 Cryptoburners.";"0";"GladiatorMusic";"Gladiator Music";"1990 Cryptoburners";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GladiatorMusic";"OCS/ECS";"";"";"";"";"gladiator music cryptoburners";"Exact";"100";"gladiator-music-cryptoburners";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\g\gladiator-music-cryptoburners\screen.png";"gladiator-music-cryptoburners"
"Disk, NoError";"910308";"G\GlobalTrash\GlobalTrash.Slave";"Global Trash ? 1991 Silents DK.";"0";"GlobalTrash";"Global Trash";"1991 Silents DK";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GlobalTrash";"OCS/ECS";"";"";"";"";"global trash silents dk";"Best";"3,044604";"global-trash-the-silents";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\g\global-trash-the-silents\screen.gif";"global-trash-the-silents"
"NoError, EmulPriv";"99524";"G\GloomPartyInvitation\GloomPartyInvitation.slave";"Gloom Party Invitation ? 1991 Gloom.";"0";"GloomPartyInvitation";"Gloom Party Invitation";"1991 Gloom";"516096";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GloomPartyInvitation";"OCS/ECS";"";"";"";"";"gloom party invitation";"Best";"4,135311";"gloom-party-invitation-gloom";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\g\gloom-party-invitation-gloom\screen.png";"gloom-party-invitation-gloom"
"NoError, Req68020, ReqAGA, ClearMem";"2870889";"G\Glow\Glow.slave";"Glow ? 1996 The Black Lotus";"0";"Glow";"Glow";"1996 The Black Lotus";"1085440";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Glow";"AGA";"";"";"";"";"glow the black lotus";"Exact";"100";"glow-the-black-lotus";"C:\Work\First Realize\amiga-demo-database\jasdd\g\glow-the-black-lotus\screen_001.png";"glow-the-black-lotus"
"NoError, Req68020, ReqAGA, ClearMem";"3838893";"G\Goa\Goa.Slave";"Goa ? 1996 The Black Lotus";"0";"Goa";"Goa";"1996 The Black Lotus";"1761280";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Goa";"AGA";"";"";"";"";"goa the black lotus";"Exact";"100";"goa-the-black-lotus";"C:\Work\First Realize\amiga-demo-database\jasdd\g\goa-the-black-lotus\screen_001.png";"goa-the-black-lotus"
"NoError, EmulTrap, ClearMem";"924052";"G\GrapevineMegamix\GrapevineMegamix.Slave";"Grapevine Megamix ? 1991 LSD.";"0";"GrapevineMegamix";"Grapevine Megamix";"1991 LSD";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GrapevineMegamix";"OCS/ECS";"";"";"";"";"grapevine megamix lsd";"Exact";"100";"grapevine-megamix-lsd";"C:\Work\First Realize\amiga-demo-database\jasdd\g\grapevine-megamix-lsd\screen_001.PNG";"grapevine-megamix-lsd"
"NoError, EmulTrap, ClearMem";"627378";"G\GreatBytesInFire\GreatBytesInFire.Slave";"Great Bytes in Fire 1992 Cyberiad.";"0";"GreatBytesInFire";"Great Bytes in Fire";"1992 Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GreatBytesInFire";"OCS/ECS";"";"";"";"";"great bytes in fire cyberiad";"Exact";"100";"great-bytes-in-fire-cyberiad";"C:\Work\First Realize\amiga-demo-database\jasdd\g\great-bytes-in-fire-cyberiad\screen_001.png";"great-bytes-in-fire-cyberiad"
"NoError";"912920";"G\Groovy\Groovy.Slave";"Groovy ? 1993 Lemon - 1 disk";"0";"Groovy";"Groovy";"1993 Lemon";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Groovy";"OCS/ECS";"";"";"";"";"groovy lemon";"Exact";"100";"groovy-lemon";"C:\Work\First Realize\amiga-demo-database\jasdd\g\groovy-lemon\screen_001.png";"groovy-lemon"
"NoError, EmulTrap, ClearMem";"1002530";"G\GroovyJives3\GroovyJives3.Slave";"Groovy Jives 3 ? 1991 Relay.";"0";"GroovyJives3";"Groovy Jives 3";"1991 Relay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GroovyJives3";"OCS/ECS";"";"";"";"";"groovy jives 3 relay";"Exact";"100";"groovy-jives-3-relay";"C:\Work\First Realize\amiga-demo-database\jasdd\g\groovy-jives-3-relay\screen_001.PNG";"groovy-jives-3-relay"
"Disk, NoError, EmulTrap";"910888";"G\GuardianDragon\GuardianDragon.slave";"Guardian Dragon ? 1991 Kefrens.";"0";"GuardianDragon";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GuardianDragon";"OCS/ECS";"";"";"";"";"guardian dragon";"Best";"3,74204";"guardian-dragon-kefrens";"C:\Work\First Realize\amiga-demo-database\jasdd\g\guardian-dragon-kefrens\screen_001.png";"guardian-dragon-kefrens"
"Disk, NoError, EmulTrap, NoDivZero";"1815052";"G\GuardianDragon2\GuardianDragon2.slave";"Guardian Dragon 2 ? 1992 Kefrens.";"0";"GuardianDragon2";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"GuardianDragon2";"OCS/ECS";"";"";"";"";"guardian dragon 2";"Best";"4,39576";"guardian-dragon-2-kefrens";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\g\guardian-dragon-2-kefrens\screen.gif";"guardian-dragon-2-kefrens"
"NoError, EmulTrap, ClearMem";"1175088";"H\HailTheEngineer\HailTheEngineer.Slave";"Hail the Engineer ? 1991 Jetset.";"0";"HailTheEngineer";"Hail the Engineer";"1991 Jetset";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"HailTheEngineer";"OCS/ECS";"";"";"";"";"hail the engineer jetset";"Exact";"100";"hail-the-engineer-jetset";"C:\Work\First Realize\amiga-demo-database\jasdd\h\hail-the-engineer-jetset\screen_001.png";"hail-the-engineer-jetset"
